Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PEO,Adams Natural Resources Fund Inc.,17.95,$460.5M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/peo
AGRO,Adecoagro S.A.,10.88,$1.32B,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
ADPT,Adeptus Health Inc.,58.36,$1.21B,1986,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adpt
ADT,ADT Corporation,34.44,$5.68B,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/adt
AAP,Advance Auto Parts Inc,151.22,$11.07B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
WMS,Advanced Drainage Systems Inc.,23.63,$1.26B,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms
ASX,Advanced Semiconductor Engineering Inc.,5.55,$8.61B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
AAV,Advantage Oil & Gas Ltd,4.45,$759.71M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,9.23,$1.61B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ate
AVK,Advent Claymore Convertible Securities and Income Fund,13.75,$324.24M,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,5.6,$180.55M,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
LCM,Advent/Claymore Enhanced Growth & Income Fund,8.3,$112.91M,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
ACM,AECOM,31.13,$4.71B,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
ANW,Aegean Marine Petroleum Network Inc.,9.07,$437.82M,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
AEB,Aegon NV,24.0501,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb
AED,Aegon NV,26.07,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed
AEG,Aegon NV,5.86,$15.68B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,25.5,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh
AEK,Aegon NV,27.65,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek
AER,Aercap Holdings N.V.,44.49,$8.79B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer
HIVE,Aerohive Networks Inc.,5.93,$285.17M,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive
AJRD,Aerojet Rocketdyne Holdings Inc. ,17.97,$1.15B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ajrd
ARO,Aeropostale Inc,0.4037,$32.14M,2002,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/aro
AET,Aetna Inc.,103.62,$36.13B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet
AMG,Affiliated Managers Group Inc.,172.6,$9.33B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
MGR,Affiliated Managers Group Inc.,25.95,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/mgr
AFL,Aflac Incorporated,62.8,$26.8B,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl
AFSD,Aflac Incorporated,25.53,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd
MITT,AG Mortgage Investment Trust Inc.,14.03,$398.63M,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt
MITT^A,AG Mortgage Investment Trust Inc.,22.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^a
MITT^B,AG Mortgage Investment Trust Inc.,22.06,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,50.56,$4.32B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco
A,Agilent Technologies Inc.,40.7,$13.49B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a
GAS,AGL Resources Inc.,62.78,$7.55B,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/gas
AEM,Agnico Eagle Mines Limited,27.84,$6.06B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,33.48,$632.38M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc
GRO,Agria Corporation,1.45,$80.31M,2007,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/gro
AGU,Agrium Inc.,97.78,$13.51B,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu
AL,Air Lease Corporation,33.95,$3.45B,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al
APD,Air Products and Chemicals Inc.,136.81,$29.47B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd
AYR,Aircastle Limited,20.46,$1.66B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr
ARG,Airgas Inc.,137.52,$9.91B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/arg
AKS,AK Steel Holding Corporation,2.1,$373.49M,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks
ALP^O,Alabama Power Company,27.741,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^o
ALG,Alamo Group Inc.,54.45,$622.05M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,3.28,$841.93M,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi
ALK,Alaska Air Group Inc.,86.33,$10.89B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk
AIN,Albany International Corporation,37.67,$1.21B,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,51.1,$5.73B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb
ALU,Alcatel Lucent,4.01,$11.22B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alu
AA,Alcoa Inc.,9.04,$11.84B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa
AA^B,Alcoa Inc.,31.23,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aa^b
ALR,Alere Inc.,40.67,$3.51B,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/alr
ALR^B,Alere Inc.,291.13,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alr^b
ALEX,Alexander & Baldwin Holdings Inc.,37.61,$1.84B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex
ALX,Alexander&#39;s Inc.,389,$1.99B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx
ARE,Alexandria Real Estate Equities Inc.,90.03,$6.53B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are
ARE^E,Alexandria Real Estate Equities Inc.,25.74,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^e
BABA,Alibaba Group Holding Limited,84.76,$211.52B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/baba
Y,Alleghany Corporation,509.44,$7.93B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,12.13,$1.32B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati
ALLE,Allegion plc,66.39,$6.37B,2013,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/alle
AGN,Allergan plc.,316.51,$124.74B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agn
AGN^A,Allergan plc.,1042.14,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agn^a
ALE,Allete Inc.,49.8,$2.44B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ale
AKP,Alliance California Municipal Income Fund Inc,13.72,$117.35M,2002,n/a,n/a,http://www.nasdaq.com/symbol/akp
ADS,Alliance Data Systems Corporation,282.86,$17.29B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ads
AFB,Alliance National Municipal Income Fund Inc,13.3,$382.2M,2002,n/a,n/a,http://www.nasdaq.com/symbol/afb
AOI,Alliance One International Inc.,11.93,$115.35M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/aoi
AWF,Alliance World Dollar Government Fund II,10.92,$939.91M,1993,n/a,n/a,http://www.nasdaq.com/symbol/awf
AB,AllianceBernstein Holding L.P.,23.85,$2.33B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ab
ACG,ALLIANCEBERNSTEIN INCOME FUND INC,7.8,$1.89B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acg
LNT,Alliant Energy Corporation,60.33,$6.84B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/lnt
NCV,AllianzGI Convertible & Income Fund,5.93,$455.16M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncv
NCZ,AllianzGI Convertible & Income Fund II,5.17,$380.68M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncz
ACV,AllianzGI Diversified Income & Convertible Fund,17.9608,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/acv
NIE,AllianzGI Equity & Convertible Income Fund,18.41,$510.12M,2007,n/a,n/a,http://www.nasdaq.com/symbol/nie
NFJ,AllianzGI NFJ Dividend Interest & Premium Strategy Fund,12.34,$1.17B,2005,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nfj
AWH,Allied World Assurance Company Holdings AG,36.39,$3.31B,2006,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/awh
ALSN,Allison Transmission Holdings Inc.,26.64,$4.56B,2012,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/alsn
ALL,Allstate Corporation (The),64.39,$24.94B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/all
ALL^A,Allstate Corporation (The),26.35,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^a
ALL^B,Allstate Corporation (The),25.69,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^b
ALL^C,Allstate Corporation (The),27.42,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^c
ALL^D,Allstate Corporation (The),27.59,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^d
ALL^E,Allstate Corporation (The),27.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^e
ALL^F,Allstate Corporation (The),26.58,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^f
ALLY,Ally Financial Inc.,19.69,$9.49B,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ally
ALLY^A,Ally Financial Inc.,25.42,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ally^a
ALLY^B,Ally Financial Inc.,25.75,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ally^b
BSI,Alon Blue Square Israel Ltd.,0.3249,$21.5M,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/bsi
ALJ,Alon USA Energy Inc.,16.06,$1.14B,2005,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/alj
ALDW,Alon USA Partners LP,24.88,$1.56B,2012,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/aldw
AGD,Alpine Global Dynamic Dividend Fund,9.01,$113.55M,2006,n/a,n/a,http://www.nasdaq.com/symbol/agd
AWP,Alpine Global Premier Properties Fund,5.84,$501.99M,2007,n/a,n/a,http://www.nasdaq.com/symbol/awp
AOD,Alpine Total Dynamic Dividend Fund,7.77,$844.93M,2007,n/a,n/a,http://www.nasdaq.com/symbol/aod
RESI,Altisource Residential Corporation,11.82,$661.81M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/resi
MO,Altria Group,58.27,$114.25B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/mo
ACH,Aluminum Corporation of China Limited,7.71,$4.6B,2001,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/ach
AMBR,Amber Road Inc.,4.56,$119.72M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ambr
ABEV,Ambev S.A.,4.88,$76.7B,2013,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/abev
AMC,AMC Entertainment Holdings Inc.,23.39,$2.28B,2013,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/amc
AMFW,Amec Plc Ord,5.99,$2.33B,2014,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/amfw
AEE,Ameren Corporation,42.97,$10.43B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/aee
AMRC,Ameresco Inc.,6.04,$280.97M,2010,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/amrc
AMX,America Movil S.A.B. de C.V.,15.23,$50.85B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amx
AAT,American Assets Trust Inc.,39,$1.77B,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aat
AXL,American Axle & Manufacturing Holdings Inc.,21.77,$1.66B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/axl
ACC,American Campus Communities Inc,38.73,$4.35B,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/acc
AEO,American Eagle Outfitters Inc.,16.08,$3.14B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/aeo
AEP,American Electric Power Company Inc.,56.25,$27.61B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aep
AEL,American Equity Investment Life Holding Company,26.03,$2.12B,2003,Finance,Life Insurance,http://www.nasdaq.com/symbol/ael
AXP,American Express Company,70.61,$69.5B,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/axp
AFA,American Financial Group Inc.,25.63,n/a,2012,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afa
AFG,American Financial Group Inc.,74.78,$6.53B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afg
AFGE,American Financial Group Inc.,26.46,n/a,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afge
AFGH,American Financial Group Inc.,24.88,n/a,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afgh
AFW,American Financial Group Inc.,26.341,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afw
AMH,American Homes 4 Rent,15.85,$3.3B,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amh
AMH^A,American Homes 4 Rent,25.16,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amh^a
AMH^B,American Homes 4 Rent,25.249,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^b
AMH^C,American Homes 4 Rent,25.11,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^c
AIG,American International Group Inc.,62.8,$77.68B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/aig
AIG.WS,American International Group Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aig.ws
AMID,American Midstream Partners LP,7.47,$237.18M,2011,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/amid
ARL,American Realty Investors Inc.,4.84,$75.09M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/arl
ARPI,American Residential Properties Inc.,17.95,$578.19M,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arpi
AWR,American States Water Company,41.82,$1.54B,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/awr
AMT,American Tower Corporation (REIT),97.69,$41.38B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amt
AMT^A,American Tower Corporation (REIT),101.97,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amt^a
AMT^B,American Tower Corporation (REIT),100.6888,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amt^b
AVD,American Vanguard Corporation,14.42,$420.49M,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/avd
AWK,American Water Works,58.4,$10.48B,2008,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/awk
APU,AmeriGas Partners L.P.,34.97,$3.25B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/apu
AMP,AMERIPRISE FINANCIAL SERVICES INC.,113.31,$19.73B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amp
ABC,AmerisourceBergen Corporation (Holding Co),99.98,$20.56B,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/abc
ANFI,Amira Nature Foods Ltd,7.87,$225.71M,2012,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/anfi
AHS,AMN Healthcare Services Inc,29.48,$1.41B,2001,Technology,Professional Services,http://www.nasdaq.com/symbol/ahs
AP,Ampco-Pittsburgh Corporation,11.44,$119.43M,n/a,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/ap
APH,Amphenol Corporation,54.71,$16.86B,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aph
BETR,Amplify Snack Brands inc.,11.98,$898.5M,2015,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/betr
AXR,AMREP Corporation,4.62,$37.23M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/axr
AME,AMTEK Inc.,55.11,$13.11B,n/a,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/ame
AFSI^A,AmTrust Financial Services Inc.,24.01,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^a
AFSI^B,AmTrust Financial Services Inc.,25.17,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^b
AFSI^C,AmTrust Financial Services Inc.,25.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^c
AFSI^D,AmTrust Financial Services Inc.,25.2499,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^d
AFSS,AmTrust Financial Services Inc.,25.04,n/a,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afss
AFST,AmTrust Financial Services Inc.,25.26,n/a,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afst
AEUA,Anadarko Petroleum Corporation,31.67,n/a,2015,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aeua
APC,Anadarko Petroleum Corporation,53.68,$27.28B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apc
AU,AngloGold Ashanti Limited,6.51,$2.64B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/au
BUD,Anheuser-Busch Inbev SA,128.9,$207.3B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/bud
AXE,Anixter International Inc.,64.21,$2.12B,n/a,Consumer Non-Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/axe
NLY,Annaly Capital Management Inc,9.48,$8.99B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nly
NLY^A,Annaly Capital Management Inc,25.0449,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^a
NLY^C,Annaly Capital Management Inc,24.45,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^c
NLY^D,Annaly Capital Management Inc,24.15,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^d
AM,Antero Midstream Partners LP,20.39,$3.58B,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/am
AR,Antero Resources Corporation,19.12,$5.3B,2013,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ar
ANTM,Anthem Inc.,132.78,$34.66B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antm
ANTX,Anthem Inc.,44.55,$11.63B,2015,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antx
ANH,Anworth Mortgage Asset  Corporation,4.6,$460.48M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,25.38,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,23.6378,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,24.25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^c
AON,Aon plc,96.74,$26.5B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/aon
APA,Apache Corporation,44.22,$16.72B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apa
AIV,Apartment Investment and Management Company,38.38,$6B,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiv
AIV^A,Apartment Investment and Management Company,25.52,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aiv^a
AIV^Z,Apartment Investment and Management Company,25.52,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aiv^z
ARI,Apollo Commercial Real Estate Finance,17.4,$1.17B,2009,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ari
ARI^A,Apollo Commercial Real Estate Finance,26.0492,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ari^a
APO,Apollo Global Management LLC,15.7,$6.31B,2011,Finance,Investment Managers,http://www.nasdaq.com/symbol/apo
AIB,Apollo Investment Corporation,25.418,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aib
AIY,Apollo Investment Corporation,25.8,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/aiy
AMTG,Apollo Residential Mortgage Inc.,12.32,$391.06M,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amtg
AMTG^A,Apollo Residential Mortgage Inc.,22.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amtg^a
AFT,Apollo Senior Floating Rate Fund Inc.,15.15,$235.93M,2011,n/a,n/a,http://www.nasdaq.com/symbol/aft
AIF,Apollo Tactical Income Fund Inc.,14.13,$204.38M,2013,n/a,n/a,http://www.nasdaq.com/symbol/aif
APLE,Apple Hospitality REIT Inc.,19.5,$3.4B,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aple
AIT,Applied Industrial Technologies Inc.,41,$1.61B,n/a,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/ait
ATR,AptarGroup Inc.,74.22,$4.63B,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/atr
WTR,Aqua America Inc.,29.63,$5.23B,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/wtr
ARMK,Aramark,33.91,$8.16B,2013,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/armk
ABR,Arbor Realty Trust,6.78,$345.53M,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,24.61,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,23.545,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,25.6899,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^c
ABRN,Arbor Realty Trust,24.9199,n/a,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/abrn
ARC,ARC Document Solutions Inc.,5,$234.96M,2004,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/arc
